mal_id	title	season	genres	type	episodes	score	members	img	prequels_id	is_sequel
5114	Fullmetal Alchemist: Brotherhood	Spring 2009	{'Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen'}	TV	64	9.24	1410162	https://cdn.myanimelist.net/images/anime/1223/96541.jpg	{}	False
9253	Steins;Gate	Spring 2011	{'Thriller', 'Sci-Fi'}	TV	24	9.13	1180042	https://cdn.myanimelist.net/images/anime/5/73199.jpg	{}	False
28977	Gintama°	Spring 2015	{'Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'}	TV	51	9.12	243153	https://cdn.myanimelist.net/images/anime/3/72078.jpg	{15335, 15417}	False
11061	Hunter x Hunter (2011)	Fall 2011	{'Action', 'Adventure', 'Fantasy', 'Shounen', 'Super Power'}	TV	148	9.12	883098	https://cdn.myanimelist.net/images/anime/11/33657.jpg	{}	False
9969	Gintama'	Spring 2011	{'Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen'}	TV	51	9.1	248022	https://cdn.myanimelist.net/images/anime/4/50361.jpg	{918}	False
35180	3-gatsu no Lion 2nd Season	Fall 2017	{'Drama', 'Game', 'Seinen', 'Slice of Life'}	TV	22	9.05	130614	https://cdn.myanimelist.net/images/anime/3/88469.jpg	{31646}	False
15417	Gintama': Enchousen	Fall 2012	{'Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'}	TV	13	9.05	146306	https://cdn.myanimelist.net/images/anime/6/75172.jpg	{9969}	False
34096	Gintama.	Winter 2017	{'Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen'}	TV	12	9	117167	https://cdn.myanimelist.net/images/anime/3/83528.jpg	{28977}	False
37510	Mob Psycho 100 II	Winter 2019	{'Action', 'Slice of Life', 'Comedy', 'Supernatural'}	TV	13	9	272836	https://cdn.myanimelist.net/images/anime/1918/96303.jpg	{32182}	False
4181	Clannad: After Story	Fall 2008	{'Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance'}	TV	24	8.99	678531	https://cdn.myanimelist.net/images/anime/13/24647.jpg	{2167}	False
